GroundTruth,Prediction
او عمراني حالا تو جائزه اخلي۔ خو بيا خپله هم قلندر مومند,او عمراني حالا تو جائزه اخليـ خو بيا خپله هم فلندر
علاقې او ځايونه کتلي وو دَ کومو چې ددې واقعې سره تعلق وو,علاقي او ځالو ته کستلي وو د کومو چې ددې واقعې سر تعلق وو
دَ محبت درد مې په سور کښې ساتي,دَ محبت درد مې په سور کښې ساتي
چې د طائر صېب نثر ليکنې په ادبي رنګ کښې د,چې د طائر صېب نثر ليکنې په ادبي رنګ کښې د
خوانۍ سره د بې کچې مينې اوعقيدت په برکت دا د,خوانۍ سره د بې کچې مينې او عقيدت په برکت داد
دورانيه كښې د صدر خوشحال ژوند او اثار، پښتو,دورانيه كښې د صدر خوشحال ژوند او اثار، پښتو
دا د مړانو ملالو  او ابدالو وطن دے,دا د مړانو ملانو او ابدالو وطن دے
چاپ شوې ده، سره د مقابلې نه پس,چاپ شوې ده سره د مقابلی نه س
کښې چې د يوې اوږدې قصيدې نه اخستے,کښې چې د يوې اوږدې مقيدې نه اخستے
يو به ئې په يوه طريقه او بل په بله طريقه خپل احساسات,يو به ئې په يوه طريقه او بل په بله طريقه خپل احساسات
رحمان بابا كلام كښې د تحريفاتو تحقيقی او تنقيدی,رحمان بابا كلام كښې د تحريفاتو تحقيقی او تنقيدی
چې لويه تا کړه، مينه ما سره کوينه,چې لويه تا کړه مينه ماسره کوینه
ملاكنډ شعبه پښتو، باچاخان يونيورسټی چارسده د پښتو د علومو څانګه,ملاکنډ شعيه، پښتو، ياچا خان يونيورسټی چارسه د پښتنو د علومو څلګه
معيار جوړول مناسبه خبره نۀ ده. بلکې هغه خو تر دې حده پورې,عيار جوړول مناسبه خبره نۀ ده بلکې هغه خو تردې حده پورې
دا دردونه دا غمونه دا فکرونه,دا دردونه دا غمونه دا فکرونه
يوه داسې مقاله ليکل وي چې د مصنف نه دا,يوه داسې مقاله ليکل وي چې دا مصنف نه دا
چې ديدار راته ښکاره کا د ليلي,چې ديدار راته ښکاره کادليلي
"حسن سور:ار. پي  ترپاټهي ليکي: ""د حسن سور د پلار نوم ابرهيم وۀ ـ څوک",حسن سوزار يې ترپاټي ليکي: د حسن سور د پلار نوم ابرهيم وۀ ـ  څوکے
په فرازى دمسعود خبره ښۀ ونه لګيده فرازى ورته ستغ ځواب ورکړو . ولې,په فرازي د مسعود خبره ښه ونه لګيده فرازي ورته ستغ ځواب ورکړو. ولې
کم عاقلې ګورې مه ځانګه په ټال په,هم عاملې لورې مه ځانګه په ټال په
لکه د پړق لکه د برېښ راځي د مخې سرهلکه د پړق لکه د برېښ راځي د مخې سره,لکه د پړق لکه د برېښ راځي د مخې سره
ستا پاړ نيولې شونډې اؤ زما وتي,ستا پاړ نيولې شونډې اؤ زما وځي
د وخته د شعر وشاعرۍ  سره يې مينه وه. پۀ اردو او پښتو,د وخته د شعر و شاعرۍ سره يې مينه وه. پۀ اردو او پښتو
هله به مې د زړۀ په سترګو ولګي نظر,هله به مې دړه په سترګو ولګي نظر
د يوه سپرلي نشه ده,د يوه سپرلي نه ده
دريابه اوس ايله غورځنګ ته راغلم,دريابه اوس ايله غور ځنګ ته راغلم
ډېر قيمتي وي او په مختلفو موضوعاتو د کتابونو,ډېر قيمتي وي او په مختلفو موضوعاتو د کتابونو
داستان نل دمن تذکره هم لري,داستان نل دمن تذلره هم لري
په خوږلن کښې د خوږلت نه خبردار شوم,په خوږلن کښې د خوږلت نه خبردار شوم
نوغے دَ امن دَ نړۍ اوباسي,نوغے د امن د نړۍ اوباسي
پښتو اكېډمۍ د ټولونه اهم,د پښتو اكېډمۍ د ټوونونه اهم
کښې شوے دے ــ د نظم قافيه تنګه وي ځکه پکښې,کښې شوے دے ـ د نظم قافيه تنګه وي ـ ځکه پکښې
ملاکنډ کښې دَ اګرې په مقام دَ ګوري په سر فيرنګے او دَ هغه,ملاکنډ کښې دَ اګرې په مقام دَ ګوري په سر فيرنګے او دَ هغه
ژوند مې ريښې ريښې دے,ژوند مې ريښې ريښې دے
دلته خو ځائے په ځائے سړي لټوي,دلته خو ځاے په ځائے سړي لټوي
په حاشيو كښې موجوده فرهنګی هڅه د قاری هغه تنده,په حاشيو كښې موجوده فرهنګی هڅه د قاری هغه تنده
په دې ورځ د  ځوانانو د  تن وينې بهېدلې,په دې ورځ د ځوانانو د تن وينې بهېدلې
ژوند تېرولو باندې مجبوره وي ـ ابن خلدون وائي چې هره معاشره,ژوند تېرولو باندې مجبوره وي ـ  ابن خلدون وائي چې هره معاشره
دې سره سره دا فهرست د نسخې د موضوع، مضمون,وې سره سره دا فهرست د نسخې د موضوع، مضمون
کله هلته کله دلتهکله هلته کله دلته,کله هلته کله ولته
ادميت څۀ په دولت نه دے رحمانه,اوصيت څۀ په وولت نه دے رحمانه
تمندو يو ګڼ شمېر خلق په دغه موقع موجود وو. او خوشحال,تعندو يو ګڼ شمېر خلق په دغه موقع موجردووـ او خوشحال
ما وې نو دومره روڼ صفا تصوير به څنګ اوباسي,ما وي نو دومره ړون صفا تصوير به څنګ اوباسي
کے بعد حضرت یوسف کو اس کے منصب پر فائز,کے بعر حضرت يوسف کو اس کے منصب پر فائز
دا رڼاګانې دې په مخ کمې دي,دا زڼاکاتې دې په مخکميې دي
هېڅ نۀ دی وئيلی شوی. نۀ پكښې د تلميحاتو، اشاراتو,هېڅ نۀ دی وئيلی شوی. نۀ كښې د تلميحاتو، اشاداتو
د پښتنو سلو تنو شاعرانو د كلام نمونې هم په,د پښتنو سلوتنو شاعرانو د كلام نمونې هم په
ملوح ابن فراخم ؤ. څوک چې د خپلې قبيلې بنو عامر يو نامتو مشر,ملوح اين فراخم ؤ. څوک چې د خپلې قبيلې بنوعامريو نيمتو مشر
چې کوم عمراني روايت راروان ؤ هغه د دۀ په شاعرۍ کښې,چې کوم عمراني روايت راروان ؤ هغه د دۀ په شاعرۍ کښې
دے ډېر ځله په يوه غزل کښې د عشق مرموز کېفيتونه د,دے ډې ځله په يوه غزل کښې د عشق مرموز کېفيتونه دَ
شومه په غم کښې ستا دَ مينې ګرفتار په,شومه په غم کښې ستا دَ مينې ګرفتار په
د آزادۍ جذبه هم تودېده ۔ په ډېر,د آازادۍ جذبه هم تويره په ډېر
عبدالخالق خليق صېب د ډرامې په لړ کښې خپله,عبدالحاليق خليق صېب د ډرامې په لړ كښې خپله
وركړے وې. خو داسې نۀ ده شوې او د چاپی معلومات,وركړے وې خو داسې نۀ ده شوې او د چا پی معلومات
دۀ وې زړۀ مي د ليلا د يادو ډك دى,ده وئ زړۀ مې ده ليدا د يادر ډك دے
پروفېسر محمد نواز طائر د پښتو ژبې او ادب,پروفېسر محمد نواز طائر د پښتو زبې او ادب
داسي وايې چې ناصر خان په وړوکوالي ډېر ښکلے او نيازبين ؤ اګر,داسې وايي چې ناصر خان په وړوکوالي ډېر ښکلے او نيازبين ؤ الر
ځان مې د سیند په چپو وړے وے مئینه,ځان مې د سيند په چپو وړے وے مئینه
کښې حُجت او دليل ګڼلے شي. او متقدمين يا متأخرين مشائخ,کښې حجت او د ليل ګڼلے شي. او متقدمين يا متاخرين مشائح
صلاحيتونه په کار راولي.او خپلو مينه والو  ته د,صلاحيتونه په کار راولي او خپلو مينه والو ته د
(نامه، نسب، زېږدنه او مړينه، د زېږيدنې,(نامه، نسب، زيږدنه او مړينه، د زېږدنې
نه مکمل واک اختيار نه وو اخيستے نو هم ئې په کال ۱۸۴۷ء کښې په,نه مکلمل واک اخثيار نه وواخيستے نو هم ئې په کال ۱۹ء کښې په
جمالياتي ذوق هم يوه مشهوره اصطلاح ده. چې له سوبه يې د حسن,جېالياتي ذوق هم يوه مشهوره اصطالاح ده. چې لس سوبه ئې د حسن
په ميدان د عابد خان پهلوانی وه,په ميدان د عايد خان پهلواني وه
مصلحتونو ورله شونډې دَ اختيار ګنډلې,معلحتونو ورله شونډې دَ اختيار ګنډلې
راننوته چې هغې نه مې تپوس وکړو نو خبر شوم چې دبيګم جان لور مرجانه,راننو ته چې هغې نه مې تپوس وکړو نو خبر شوم چې د بيګم جان لور مرجانه
اے د علي(رض) د حېدرئ چغې تصوير وطنه,اے د علٰيٰ رضه) د حېدرۍ چغې تصور وطنه
خوشحال خان پۀ رنګ د لوئے قبيلې خاوند او سردار نګراني,خوشحال خان پۀ رنګ د لوئے قبيلې خاوند او سردار نګراني
د مجنون مقام دے هسک له,د مجنون مقام دے هسک له
جنګېده، په دغه ورځ چې وامق د فلقراط ملك ته,جنګده ـ په دغه ورځ چې وامق د فلقراط ملټ ته
"مروج دي. لکه ""حسن او جمال""","مروج دي ـ لکه "" حسن او جال"""
د کائنات پېټے په سر او سترګو,د کائنات پټے په سر او سترګو
مجبوري ده,مجبوري ده
د دغه شعر نه ښکاره ده ـ  چې مرجانۍ د خوشحال با با,ددغه شعر نه ښکاره ده ـ چې مرجانۍ د خوشحال بابا
خو پاڅېدل په توره خړه کوه,خو پاسيدل په توره خړه کوه
او د پير سباق په مقام د تورې د خرپ سره د خپلې بې,او د پير سباف په مقام د نوزې د حره سره د خپلې بې
ګودر د پښتني ټولنې يوه ټولنيزه مؤسسه ده، په هركلي,ګودر د پښتنې ټولنې يوه ټولنده مؤسه ده، په هر كلي
بـــالـــکل اپ ډېټ وه ـ دې نه علاوه,بالکل اپ ډېټ وه ـ دې نه علاوه
له دې کبله تښتېدو کې پاتې راغلي چې د ودانۍ چت ته,له دې کبله تښتېدو کې پاتې راغلي چې د ودائۍ چت ته د
سيمينارونه او كانفرنسونه وغېره هم شوي دي چې,سيمينارونه او کانغرنسونه وغېره هم شوې چې
د چاربېتې په شكل كښې د زړه بړاس وېستلو۔د خپله,د چاربېتې په شكل كښې د زړۀ لړاس وستعلو. د خپل
پورې دے ـ دا دور د غم جانان دور وو لکه چې څنګه,پورې دے. د دور د غم جانان دور وو د که چې څنګه
که ديدن کړې ګودر له راشه,که ديدن ګړې ګودرله راشه
زما ګلاب ګلاب ګلاب وطنه,زما ګلاب ګلاب ګلاب وطنه
پرېږده,پرېږده
بابا په تصوفی او اخلاقی شاعرۍ رڼا اچولے شوې ده او,بابا په تصوفی او اخلاقی شاعرۍ رڼا اچولے شوې ده او
شو په انګرېزو کښې روئيداره,شو په انګرېزو کښې روئيداره
که غليم ډېر زورَور لکه د يګ دے,که غليم ډېر زورور لکه دنګ دے
﻿ او خان لالا په لوڼو پسې خلقو خبرې ولې نه کولې هغوى خوهم په,او دخان لادا په توڼو پيسې خلقو خبرې ولې نه کولې هنوي خو هم په
سلطنت نه اوويستل . نل او دمن دواړه ځنګل ته,سلطنت نه اوويستل نل او دمن دواړه ځنګلي ته
او په دغه حقله سعادت نومې شاعر داسې چاربېته ليکلې ده:,او په دغه حقله سعادت نومې شاعر چاربېته ليکلې ده
نو هغه يحييٰ برمکي قيد کړو.او د هغه د پهانسي شو ،هم په هغه,نو هغه يحيي برمکې قيد کړو او د هغه د پوهانسي کولې شو. هم په هغه
معاشرې د پاره د يو مکمل علمي څانګې په جوړ په ټوله,معاشرې د پاره يو مكمل علمي قانګي په جوړ په ټوله
اب بيتۍ يا سوانح عمري په شکل کښې ليکلے شي ــ او هم دغه شان,ااب بيتې يا سوامنح عمري په شکل ليکلے شی. او هم دغه شان
ايډيشن له پاره چې محترم عبدالشكور رشاد كومه لغت نامه,ايديشن له پاره چې محترم عبدالسكور رشاد كومه لغت نامه
دې دور کښې بې شمېره شاعران، اديبان، مؤرخين,دې دور كښې يا شمېره شاعران، اديبان مورځين
لغت ظفراللغات کښې د چاربېتې پۀ حقله ليکى,لخت ظفراللغات کښې د چاربېتې په حقله ليکي
پيدا کړے دے او د غزل,پېدا كړے دے او د غزل
لکه د پاڼې ووم بادونو د خزان وهلے,لکه د پانې ووم بادونو د خزان وهلے
هغه تورو تورو شپو کښې,هغه لورو تورو شو کښې
يو عالمي جنګ به که خېري کوو,يو عالمي جنګ به که خبري کوو
’’ په ١٩٧٨ء کښې د پښتو اکېډيمۍ د,"’""په ١٩ء کښې د پښتو اکېډيمۍ"
په بستر به ئې خوب نه کېده بې ګلو,په بشر په ئې خوب نه کېده بې ګلو
کښې ئې د حنفي مذهب او امام اعظم (رح) ذکر کړې دے. خو دلته,کښې ئې د حتفې مذهب او امام اعظم (رح) ذکر کړې دے خو دلته
پدې باب کښې به د پښتو په غزل کښې د عمراني,په دې باب کښې به د پښتو په غزل کښې د عمراني
کلاسيکي رنګونو سره سره د پښتون د کلتور، تهذيب او,کلا سيکي رنګونو سره سره د پښتون د کلتور تهذيب او
هغه ژوى چې مئين وى څه به خوب کا,هغه ژوی چې مئين وی څه به خوپ کا
د نن په سر مه کو ه,د نن په سرمه کوره
څوک خبر سوله چې څه سوې  هغه کونډې هغه ښکلي؟,څوک خبر سوله چې څۀ سوي هغه کونډې هغه خکلي
په دې موقع دَ فيرنګي  هم خپل کردار لوبولو,په دې موقع فرنګي هم خپل کردار لوبولو ـ
چرته چرته چې د دغه ټولنې لږ يا ډېر وګړي يو بل سره مخامخ,چرته چرته چې دغه ټونې لږ يا ډېر وګړي جو بل سره مخامخ
ډرامه د لوستو څيز نۀ دے بلکې د,٫ډرامه د لوستو څيز نه دے بلکې د
دغه اساس د کلهمې نړۍ مختلفو جمالياتي مفکرينو په هر دور,دغه اساس د کلهمې نړۍ مختلفو جمالياتي مفکرينو په هر دور
کښې درست وه، قلندر د ظفر خان، ملک هيبت خان ، ملک هيبت خان,کښې درست وه، قلندر د ظفر خان، ملک هيبت خان، ملک هيبت خان
په هڅه کښې وۀ ـ  خو د هغه فوځيان بې کچه,په هڅه کښې وۀ ـ خو د هغه فوځيان بې کچه
د چمن وړې وړې تنکۍ غندلې,چمن وړي وړي تکي غندلې
کرښه يې تر۹ سیلابو او دوهمه کرښه یې اوږ ده  او د,كرنه يی تر۶ بسېلابو او دوهغه كرښه يې اوږده او د
"دې نه وړاندې زما دوه نعتيه مجموعې ""لاهوتي","دې نه وړاندې زما دوه نعتيه مجمدعې ""لاهوتي"
زړۀ مې روغ نۀ دےداسترګې به دې پوﻫ کړې,زړۀ مې روغ نه دې استرګې به دې پوهر کړي
دېوالونه ئې زمونږ د ککرو دي,ديوانونه يې زمونږ د کګرو دې
د پاره په پښتو او پښتونولۍ کښې خپل اصطلاحي نومونه,دپاره په پښتو او پښتونولۍ کښې خپل اصطلاحي نومونه
نور داسې ګڼ مثالونه او د نمونې شعرونه د حسېن د ديوان,نور داسې ګڼ مثالونه او د نمونې شعرونه د حسن د ديوان
که تا وته حېران دي د ليلي' حکايت کړوني,که ناوته حېران دي د ليلي' حکايت کړوني
د  نظره  مه  يريږه  نظر  ماتے دې هم زه يم,د نظره مه يريږه نظر مائے د هم زۀ يم
هغه د حسن د نشو په سلسبيل,هغ د حسن د شو په سليل
داسې وايي:,داسې وايي
او هم هغه پرې يو مفصل او مدلل ليك,او هم هغه پراهم يو مفصل او مدلل ليك
همګي ئې ثنا خوان دے,همګۍ ئې شهخوان دے
ته حواله کړې شوه چې دَ هغې په ځاے دَ هغې بله خور راوستې شوه ـ,ته حواله کړې شوه چې دَ هغې په ځاے دَ هغې بله خور راوتي شوه
دَ ملکونو ، قامونو او قبيلو تاريخونه ډېر خلق ليکلے شي او ليکلے شوي,د ملکونو، قامونو اقبيلو تاريخونه ډېر خلق ليکلے شي او ليکلے شوې
او د بشري حقوقو تحفظ دے ـ ښځې سره همدردي,او د بشرۍ حقوتو تحفظ دے ـ ښځې سره همدر دی
مرغۍ نه دَ هغه کلام دَ وخت تاړاکونو مونږ ته پرېښے نۀ,مرغې نه د هغه کلام د وخت تاړاکونو مونږ ته پرېښے
چې سينه  او ډونګه بئيل دي,چې سينه او ډونګه بئل دي
تور سرونه,تور سرونه
چې ليونۍ تنده پرې ماته کړمه,چې لېونۍ تنده پرې حاته کړمه
مسکا دې ونغاړه ګلابه وعدې مه راکــوه,مسکا دې ونغاړه ګلا به ويې مه راکوه
دې لړ کښې ډېرې داسې نارې موجودې دي چې دا استنباط ترې,دې لړ کښې ډېرې داسې نارې موجودې دي چې دا انتناط ترې
د چاپ كولو د پاره دا په دوه جلده ويشلې شوې. په وړومبی,د چاپ كولو د پاره دا په دوه جلده ويشلې شوی په وړومبی
المنجد، (عربی اردو) كراچی، دارالاشاعت كراچی,المنجر، (عربی اردو) كراچی، دار الاشاعت كراچی
زۀ خو دې غېر متوقعې ديدن ګڼمه داسې,زۀ خو دې غېر متوهې ديدن ګڼمه داسې
دغه شان حسن هم د ذهن نه پېدا شوے يو صورت دے.,دغه شان حسن هم د ذهن نه پېدا شوے يو مورت دے
شي، لکه چې وائي:,شي، لکه چې وائي:
د پياز د غوټې د لذت تپوس زما نه اوکړه,زما د ژوند د نغاوت تپوس زمانه اوکړه
چه همايون ددۀ له لاسه هزيمت ؤ,په همايون د دۀ له لاسه هزيمت ؤ
ذاتي ليکنې لکه ډائري او خطونه,ذاتي ليلي لکه رائرې او خطونه
کښېنو وو. او يوسفزى، خټک او بنګش پۀ خپلو کښې اړم وو,کښېنو وو. او يوسفزى، خټک او بنګس پۀ خپلو کښې اړم وو
تاج محمد او نمرو:	د دې رومانوى داستان ځائے ځاېږے هم,تاج محمد او نعرو: د دې رومانوى داستان ځائے ځاېږے هم
هغه زړونه کاڼي دي کمَرې دي,هغه زړونه کاڼي دې کمرې دي
اتفاقي او شخړې راولاړې شي او بيا اولاد د خپل,اتفاقي او شخړې راولاړې شي او بيا اولاد د خپل
يوه ورځ د شېرعالم مېلمانه راغلى وو چې شېرعالم کور نۀ ؤ,يوه ورځ د شېر عالم ميلمانه راغلې وو چې شېر عالم کور نۀ ؤ
بادشاه زړۀ بد شو ـ نو دۀ ته ئې د قنوج او کالپۍ جاګيرونه ورکړل,بادشاه زړۀ برشو ـ  نو دۀ ته ئې د قتوج او کالپۍ جاګيرونه ورکړل
سره لکه د خپلو بچو په شان سلوک کوي,سره لکه د خپلو بچو په شان سلوک کوي
دا مو ځان,دا مو ځان
په وجه چې ډېر ښۀ کلام تر مونږه رارسېدلے دے ـ,په وجه چې ډېر ښه کلام تر مونږه راړسېدے دےـ
واورې په لمن يې زېړ ګلونه  سندرو او افسانو زموږ د لرغوني,واوری په لمن يی زيړ ګلونه سندروں او افسانو زمونږه د لرغو ی
ګڼلو ـ خوشحال په دې پوهېدو چې د عرفان الهى,ګڼلوـ خوشحال له دې پوهېدو چې د عرفان الهي
حضرت شفيق بلخي,حضرت شفيق بلخې
د شیطان لیدل,د شطان ليدل
اقبال د خوب تعبير کړو ويښ اودۀ ضمير,اقبال د خوب تعبير کړو وېښ اودۀ ضمير
نوم د مجاز اخلى، بلبل د حقيقت د,نوم د مجاز اخلی، بلبل د حقيقت د
زمونږ لارښودنه کولے شي. لکه چې ليکي,زمونږ لارښودنه کولے شيـ لکه چې ليکي
د مقدمې نه پس د اصل متن مرحله راځی,د مقدمې نه پس د اصل متن مرحله راځی
کافر به يم که زۀ د خپل افغان په لوري نۀ ځم,کافر به يم که زۀ د خپل افغان په لوري نه ځم
د رحمان بابا د اشعارو مقبوليت په دې کښې هم دے، چې د انسان,د رحمان بابا د اشعارو مقبوليت په دې کښې هم دے، چې د انسان
او نازبينو لاسو تيرېږى. پۀ لاندېنو ټپو کښې د دغه,او نازبينو رسو تېرېږي ـ پۀ لاندنيو ټپو کښې ددغه
"د بشری نسيم ""پشتون قوم پر اسلام کا فولکلوری اثر"" د","د بشری نسيم""پشتون قوم پر اسلام كافولكلوری اثر د"
د دې خبرې محتاج نۀ دے. چې اباسين صېب,ددې خبرې محتاج نۀ دے. چې اباسين، صېب
اول پښتو غزل کښې د عمراني افکارو په روايت باندې بحث شوې دے  چې دغه,اول پښتو غزل کښې د عمرانۍ افکارو په رواياتو باندې بحث شوې دي چې دغه
شعر وئيلے نۀ شي څوک د ولايت نه بغېرشعر وئيلے نۀ شي څوک د ولايت نه بغېر,شعر وئيلے نۀ شي څوک د ولايت نه يقير
كے ترقياتی ادارے، اسلام اباد، مقتدره قومی زبان,کے ترقياتی ادارے، اسلام اباد، مقتوره قومي زبان
پروفېسر افضل رضا ليکي,پروفېسر افضل رضا ليکي:
په رنګ مالا کښې يې مردار کړل ډېر کفار,په رنګ مالا کښې يې مردار کړل ډېر کفار
کړي ددے قسم سوالونه,کړې ادے قسم سوالونه
تصور په ريښتونوالي باندې چې زمونږ يقين نۀ وي. که په,تصور په ريښتونوالي باندې چې زمونږ يقين نۀ وي که په
چرته په خيال کښې که مې وړي ماضي ته زړۀ مينه زړه,چرته په خيال کښې که مې وړي ماضي ته زړۀ مينه زړه
هر ځاے کښې موجود يم د کتو سترګې,هر ځائه کښې موجود يم دکتو سترګې
جوړ عجيبه  شان بنياد شو,جوړ عجيبه شان بنياد شو
عبدالقادر سره د طائر صېب ډېره عقيدتمندي پېدا,عبدالقادر سره د طائر صېب ډېره عقيد لمند پېدا
ځان ته به ګوري ستا به ډېر قدر کوینه,ځان ته به ګوري ستا به ډېر قدر کوينه
کله مئ په شونډو کېږدم کله نے,کله من په شونډو کېږدم کله مې
وخت پېغام ورکونکے دا سوچ اونۀ کړي چې ددۀ دَ خولې په دوه,وخت پېغام ورکونکے دا سوچ اونۀ کړي چې ددۀ د خولې ته دوه
د دغې ادبى اثارو په لټون، پلټنې، څيړنې او خوندکارۍ خرڅ,د دغې ادبی اثارو په لټون، پلټی، څېړنې او خوند كارۍ خرڅ
باب کښې دغه پښتانۀقهرمانان د خوشحال بابا د شعر په رڼا,باب کښې دغه پښتانۀ قهرحان د خوشحال بابه د شعر په رڼا
قرآن ئې معجزه ده,قرآن ئې معجره ده
څه کۀ پۀ مال اؤ زر شتمن څوک قارون پۀ شان دے,څه که پۀ مال اؤ درشتمن څوک فارون پۀ شان دے
ګودرته ځم راپسې راشه,ګودر ته ځم راپې راشه
چې په باره کښې چې ګوتم بدهـ دا وصيت کړے وو چې زما څۀ,چې په باره کښې چې ګوتم بده دا اوحيت کړے وو چې زما څۀ
په تورو، کريانونو په نېنزو کښې ئي پيئل,په تورو، کريانونو په نينزو کښې ئې پېئل
ن به راوړلی جګړن د سيند په لوری,نۀ به راوړلی جګړن د سيند په لوری
دا يقين څۀ نور څۀ نه وو بس,دا يقين څۀ نور څۀ نه وو بس
او ثقافت ځلانده دور ختمېدو سره د يونان زمکې تر اوږدې مودې,او ثقافت ځلانده دورحتمېدو سره د يونان زمکې تر اوږدې مودې
ملګرو لوے نقصان زمونږه دين ته,ملګرو لوے نقصان زمونږه دين ته
رسولو دپاره په فطرت کښې تغير او بدلون پکار دے. يعنې فطرت نه,رسولو دپاره په فطرت کښې تعير او بدلون پکار دے. يعنی فطرت نه
تجربې کړي دي ـ ځکه چې دلته د قدم کېښودو سره,تجربې کړې دي. ځکه چې دلته د قدم کېښودوسره
"رارتاؤ شو پرې کمر نن به يې بل وطن ته وړينه""","رارتاؤ شو پرې کم نن به يې بل وطن ته وړينه"""
په تا به خپل قسمت په خپله ناز کوينه,په تا به خپل قسمت په خپله تازکوينه
حسن خان اتل دَ مولانا عبدالقادر قول رانقلوي:,حسن خان اتل دَ مولانا عبدالقادر قول رانقلوي:
عبدالرحمان بابا په دې قول ئې پوره پوره عمل کړے,عبدالرحمن بابا په دې قول ئې پوره پوره عمل کړے
شیرینه یاره، ناز مې وړۀ، ناز بۀ دې وړمه,شرينه ياره نازمې وړه ناز به دې وړمه
خدای دې زما کړه غونډې منډې,خدای دې زما کړه غونډې منډې
محقق مدون په دغه ضمن كښې خپله غاړه خلاصه,محقق مدون په دغه ضمن كښې خپله غاړه خلاصه
كاپی زړه وه. حاشيې يې خوړلے,کاپي زړۀ وه حاشيبې يې خوړلے
مۀ شينده رنګونه لېونۍ، مۀ شينده رنګونه لېونۍ,مۀ شينده رنګونه لېونۍ مه شينده انګونه لوني
مزيد اوکړان خاورې,مزير اوکړان خاورې
زاکواة نۀ ورکول. او نور د شرعي حکمونو ماتول، لکه عورت نۀ پټول,ذاکواة نه ورکول او نور د شرعي حکمونو ماتول لکه عورت نه پټول
"""اظهار د حسن دپاره ضروري يا نقصاني دے. او دا دواړه د يو بل",اظهار د حسن د پاره ضروري يا نقصاني دے. او دا دواړه د يو بل
هر راز مشورې او لارښوونې راکړي او د خپلو درنو ملګرو هر يو,هر داز مشورې او لارښودنې راکړي او د خپلو درنو ملګرو هر يو
پټه او زرخېزه وي کۀ زمونږ شعرونه په تشبيهاتو,پټه او زرخېزه وي کۀ زمونږ شعرونه په تشبيهاتو
سترګو له مه کوه لکۍ خواره ويښته مه ګرځه,سترګو لهمه کوه لکي خواره ويښته مه کرځه
د مجنون او د ليلي' مينه ريشتيا وه,د مجنون اود ليلي' مينه رشتا وه
وېنا د زړۀ په غوږو واوره.,وينا د زړۀ پها غوږو واوره
څه يوازې يو مجنون نه دې عاشق,څۀ يوازې يو مجنون نه دې عاشق
زما د برپو پرخول,زما د بريو پرخول
به د ترجمې په مېدان کښې د نوؤ راتلونکو لار ښونه,به د ترجمې په مېدان کښې د نوؤ راتلونکو لارښونه
الاسلام او جديد تحقيق، د عبدالحميد بابا په كلام,الاسلام او بديد تحقيقی، د عبدالحميد د بابا په كلام
دغه شان دنړۍ په مخ د ژوند کوونکو قامونو عروج و زوال حال,دغه شان د نړۍ په مخ د ژوند کوونکو قامونو عروج و زوال حال
تکوين لومړنۍ محرک هم دے، لکه رحمان بابا چې ويلي دي,تلوين لومړنې محرک هم دے لکه رحمان بابا چې ويلي دي.
هم دغه وجه ده چې رښتين خپل قوم ته د هغو د ماضي,هم د هغه وجه ده چې ريښين خپل قوم ته ده هغوي ده ماضي
وايم چې د مروجه نعت ليکونکو د نعت نه پرته يو,وايم چې د مروجه نعت ليکونکو د نعت نه پرته يو
د نظم صنف زيات موزون دے چې په آسانۍ سره پکښې بيانيدې شي۔ اسماعيل ګوهر,د نظلم صنفزيات موزون دے چې په اسانۍ سره پکښې بياندې شي ـ اسماعيل وه
د ترۀ ځوے ما ته تربور نۀ بلکې د سکه ورور پۀ شان ښکاري,د ترۀ ځوے ماته تربور نه بلکې د سکه ورور په شان ښکاري
چې څۀ وشو ښــــۀ خبر يئ,چې سه وشو ښۀ خبرتې
زه خو په تا پسې بې سوره يمه,زه خو په تا پسې بې سوره يمه
ګڼو ذهنونو پېداوار او د ګڼو خلو وېنا وې وى پۀ هېڅ ډول پۀ,ګڼو ذهنونو پېلاوار او ګټو خلوونيا وي پۀ هېڅ ډول پۀ
اودۀ دي ـ,اودۀ دي
لنډۍ ویلې دي نو همدا لامل دی چې د ویلو او او جوړیدو نیټه,لندۍ ویلی دی نو همدا لاکل دی چې د ويلو او او جوړېونينه
کومه حده پورې (پالو) کوي,کومه حده پورې (پالو کوي
د سهولياتو او مراعاتو مستحق وی. ما سيوا د هغې,د سهولياتو او مراعاتو متحق وی ماسيو د هغې
پښتونه,پښتونه
اخر د دوېم عالمګير جنګ د اثراتو او د تعليمي شد بد سېوا کېدو,اخ د دويم عالمګير جنګ زاثراتو او د تعليمي شه بو سيداکيدو
سړے وۀ ـ  د دۀ پلار ملک سليمان د ملتان ګورنر وۀ ـ  کله چې ئې پلار حق,سړے وۀ ـ ددۀ پلار ملک سليمان د ملتان کورنر وۀ ـ  کله چې ئې پلارحق
مقدمه ده چې خوراګڼ وضاحتو نه او معلومات لرى.,مقدمه ده چې خوراګن وضاحتونه او معلوت لری.
(نظم)                   (اعزاز الحق),( ظ  (اعزازالحق)
کوشش دے چې زمونږ د معاشرتي ژوند د دوؤ,کوشش دے چې زمونږ د معاشرتي ژوند د دوؤ
بخښلو سره سره د پښتو ژبې د ترقۍ سبب هم اوګرځي ـ نوي برټش,بخښلو سره سره د پښتو ژبې د ترقۍ سبب هم اوګرځي ـ نوې برټش
